NOMBRE,VARIEDAD
Achicoria,Cadence
Ajo,Promedio
Ají,Promedio
Alcachofa,A-110
Alcachofa,Arad
Alcachofa,Imperial Star
Alcachofa,Lorca
Alcachofa,Promedio
Alcachofa,Tavor
Almendro,Merced
Almendro,Non Pareil
Almendro,Promedio
Almendro,Ruby
Almendro,Texas prolific
Almendro,Thompson
Arroz,Cuarzo
Arroz,Promedio
Arroz,Zafiro-INIA
Arveja,Spring
Arándano,Aurora
Arándano,Biloxi
Arándano,Blue cuinex
Arándano,Bluecrisp
Arándano,Bluecrop
Arándano,Brightwell
Arándano,Brigitta
Arándano,Corona
Arándano,Daybreak
Arándano,Draper
Arándano,Duke
Arándano,Elliott
Arándano,Emerald
Arándano,Georgia Gem
Arándano,Jewel
Arándano,Jubilee
Arándano,Keepsake
Arándano,Legacy
Arándano,Liberty
Arándano,Misty
Arándano,New Hanover
Arándano,O' Neal
Arándano,Ochlockonee
Arándano,Prelude
Arándano,Promedio
Arándano,Reveille
Arándano,Robust
Arándano,Rocío
Arándano,Sensation
Arándano,Southmoon
Arándano,Star
Arándano,Sunshine Blue
Arándano,Tifblue
Avellano europeo,Barcelona
Avellano europeo,Fertille de Coutard
Avellano europeo,Promedio
Avellano europeo,Tonda di Giffoni
Avena,Promedio
Brócoli,Legacy
Caqui,Promedio
Cebolla,Promedio
Cerezo,Brooks
Cerezo,Burlat
Cerezo,Lapins
Cerezo,Marvin
Cerezo,Newstar
Cerezo,Promedio
Cerezo,Rainier
Cerezo,Summit
Cerezo,Sylvia
Cerezo,Van
Ciruelo europeo,French Improved
Ciruelo europeo,Imperial
Ciruelo europeo,President
Ciruelo europeo,Promedio
Ciruelo europeo,Stanley
Damasco,Imperial
Damasco,Modesto
Damasco,Promedio
Damasco,Royal
Damasco,Tilton
Duraznero,Andross
Duraznero,Blazing Gold
Duraznero,Caroline
Duraznero,Corona
Duraznero,Dixon
Duraznero,Flordaprince
Duraznero,FloridaKing
Duraznero,Fortuna
Duraznero,Gem free
Duraznero,O'Henry
Duraznero,Promedio
Duraznero,Red globe
Duraznero,September Lady
Duraznero,Springtime
Espinaca,Ballet
Espinaca,Condesa
Espinaca,Correnta
Espinaca,Denali
Espinaca,Laska
Espinaca,Marimba
Espinaca,Olympia
Espinaca,Promedio
Espinaca,Quinto
Espinaca,Santana
Espinaca,Viroflay
Espinaca,Whitney
Frambueso,Amity
Frambueso,Autumn Bliss
Frambueso,Heritage
Frambueso,Meeker
Frambueso,Promedio
Frambueso,Ruby
Frutilla,Albión
Frutilla,Benicia
Frutilla,Camarosa
Frutilla,Chandler
Frutilla,Chilena
Frutilla,Cristal
Frutilla,Europea
Frutilla,Monterey
Frutilla,Promedio
Frutilla,Virginia
Garbanzo,Alfa INIA
Grosella,Promedio
Guindo,English Morello
Guindo,Meteor
Guindo,Montmorency
Guindo,Promedio
Guindo,Stockton Morello
Haba,Promedio
Lenteja,Super Araucana INIA
Manzano,Atwood
Manzano,Black John
Manzano,Double Red Maclntosh
Manzano,Golden Spur
Manzano,Granny Smith
Manzano,Granny Smith Spur
Manzano,Lodi
Manzano,Promedio
Manzano,Red Chief Spur
Manzano,Red King Oregon
Manzano,Red Spur
Manzano,Richared Delicious
Manzano,Stark Earliest
Manzano,Starking Delicious
Manzano,Starkrimson
Manzano,Top Red Delicious
Maíz,Promedio
Maíz,Saccharata cu. GH-2757
Maíz,Saccharata cu. Jubilee
Melón,Honey Dew Green Flesh
Melón,Promedio
Melón,Winter Dew
Nectarino,Armiking
Nectarino,Crimson Gold
Nectarino,Early Legrand
Nectarino,Early Sungrand
Nectarino,Fantasia
Nectarino,Flamekist
Nectarino,Flavortop
Nectarino,Late Legrand
Nectarino,Mayred
Nectarino,Promedio
Nectarino,Sun Grand
Nectarino,Sundowner
Olivo,Arbequina
Olivo,Empeltre
Olivo,Liguria
Olivo,Promedio
Olivo,Sevillano
Papa,Desiré
Papa,Karu-INIA
Papa,Kuyen-INIA
Papa,Patagonia-INIA
Papa,Porvenir-INIA
Papa,Promedio
Papa,Pukara-INIA
Papa,Puyehue-INIA
Papa,Rayún-INIA
Papa,Yagana-INIA
Papa,Yaike-INIA
Pepino dulce,Promedio
Peral,Bartlett de invierno
Peral,Bartlett de verano
Peral,Beurre Bosc
Peral,Beurre D'Anjou
Peral,Doyenne du Comice
Peral,Duquesa de Angulema
Peral,Packham's Triumph
Peral,Promedio
Peral,Salvador Izquierdo
Peral,Winter Nellis
Pimentón,Promedio
Pistacho,Kerman
Pistacho,Larnaca
Pistacho,Promedio
Poroto,Blanco Español-INIA
Poroto,Curi-INIA
Poroto,Promedio
Poroto,Zorzal-INIA
Quínoa,Promedio
Raps,Promedio
Remolacha azucarera,Promedio
Sandía,Promedio
Sorgo,Promedio
Tomate,Promedio
Trigo,Dollinco
Trigo,Kipa
Trigo,Lasana
Trigo,Maxwell
Trigo,Millán
Trigo,Pandora
Trigo,Pantera
Trigo,Promedio
Trigo,Suri
Triticale,Invernal
Triticale,Primaveral
Triticale,Promedio
Vid,Cabernet Sauvignon
Vid,País
Vid,Promedio
